Year,Month,Region,Total Crime,Active Duty 1941-1947,Active Duty 1941 & Earlier,Active Duty 1947-1950,Active Duty 1950-1955,Active Duty 1955-1964,Active Duty 1964-1975,Active Duty 1975-1990,Active Duty 1990-2001,Active Duty 2001-Recent,Active Duty or Veteran,Carrying Cash,Born Abroad,Born in Territories,Born in US,Naturalized Citizen,Difficulties Concentrating,Difficulties Dressing,Difficulties Going Outside,Difficulties Hearing,Difficulties Seeing,Difficulties with Stairs,Employed,Hate Crime towards Disabled,Hate Crime towards Ethnicity,Hate Crime towards Gender,Hate Crime towards Race,Hate Crime towards Religion,Hate Crime towards Sexuality,High Income,Low Income,Middle Income,Worked in the past 2 Weeks,Worked in the past 6 Months,Worked in the past Week,Federal Employee,Non-Profit Employee,Private Employee,Self-employed,State Employee,Lived at Address 10-15 Years,Lived at Address 15+ Years,Lived at Address 5-10 Years,Lived at Address 0-5 Years,Living on a Reservation,Living at a Dormitory,Living at a House,Living at a NonPermanent Hotel,Living at a Permanent Hotel,Living at a Permanent Mobile Home,Works in Agriculture,Works in Construction,Works in Entertainment,Works in Finance,Works in Government,Works in Manufacturing,Works in Personal Services,Works in Professional Services,Works in Repair Services,Works in Retail Trade,Works in Transportation,Works in Wholesale Trade,Pregnant,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70+,Hispanic,AAPI,Native,Asian,Black,Multiracial,White,Associates Degree,Bachelors Degree,High School Degree,Less than High School,Masters Degree,Doctorate Degree,Professional Degree,Divorced,Married,Single,Separated,Widowed,College Student,Not a Student,K-12 Student,Trade Student,Vocational Student,Female,Male,Not Heterosexual Identifying,Works in City,Works in Rural Location,Works in Suburb
1996,3,South,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,NA,NA,NA,NA,NA,NA,0,294,105,29,34,253,NA,NA,NA,NA,NA,36,47,63,153,NA,2,386,0,0,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,64,118,156,38,24,27,39,NA,NA,NA,NA,NA,NA,0,0,0,192,0,0,0,64,253,58,29,29,26,395,0,2,6,167,267,NA,154,31,45
1996,3,West,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,NA,0,240,79,21,27,215,NA,NA,NA,NA,NA,31,36,58,110,NA,0,322,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,66,96,103,36,22,15,64,NA,NA,NA,NA,NA,NA,0,0,0,131,0,0,0,56,191,60,17,16,26,309,0,2,1,138,202,NA,155,15,24
1996,4,Midwest,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,0,193,59,15,19,183,NA,NA,NA,NA,NA,27,48,38,90,NA,4,259,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,58,74,78,36,13,16,11,NA,NA,NA,NA,NA,NA,0,0,0,155,0,0,0,43,149,67,7,13,20,253,0,5,1,104,176,NA,119,22,34
1996,4,Northeast,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA,0,118,49,10,15,115,NA,NA,NA,NA,NA,21,30,29,70,NA,6,181,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,22,56,58,30,12,5,13,NA,NA,NA,NA,NA,NA,0,0,0,73,0,0,0,36,89,42,10,13,15,171,0,2,1,75,115,NA,65,10,37
1996,4,South,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,NA,0,305,94,19,27,270,NA,NA,NA,NA,NA,28,64,56,156,NA,3,379,0,0,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,87,115,106,60,38,22,32,NA,NA,NA,NA,NA,NA,0,0,0,210,0,0,0,63,235,82,20,31,21,408,0,2,0,186,247,NA,180,15,48
1996,4,West,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,NA,NA,NA,0,243,88,10,25,203,NA,NA,NA,NA,NA,30,61,42,132,NA,0,345,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,61,99,90,55,29,22,55,NA,NA,NA,NA,NA,NA,0,0,0,150,0,0,0,69,193,62,9,24,29,323,0,2,3,143,215,NA,134,24,23
1996,5,Midwest,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,NA,NA,0,160,71,13,17,181,NA,NA,NA,NA,NA,31,45,35,106,NA,3,263,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,49,78,72,43,14,11,9,NA,NA,NA,NA,NA,NA,0,0,0,124,0,0,0,43,154,60,7,7,14,255,0,0,1,103,170,NA,105,26,34
1996,5,Northeast,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,0,110,62,14,16,110,NA,NA,NA,NA,NA,23,36,31,70,NA,4,182,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,23,49,54,35,13,9,8,NA,NA,NA,NA,NA,NA,0,0,0,78,0,0,0,26,108,35,8,10,13,170,0,1,0,60,127,NA,58,13,37
1996,5,South,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,0,262,86,18,27,236,NA,NA,NA,NA,NA,34,48,40,143,NA,3,337,0,0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,76,91,97,48,33,23,31,NA,NA,NA,NA,NA,NA,0,0,0,190,0,0,0,52,201,69,24,31,17,354,0,6,0,153,226,NA,136,30,41
1996,5,West,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,NA,NA,NA,0,250,84,22,31,224,NA,NA,NA,NA,NA,28,49,48,115,NA,1,325,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,76,91,92,46,29,16,69,NA,NA,NA,NA,NA,NA,0,0,0,146,0,0,0,58,180,72,17,25,35,315,0,0,3,161,192,NA,157,25,25
