Year,Month,Region,TotalCrime,activeDuty_1941_1947_yes,activeDuty_1941_earlier_yes,activeDuty_1947_1950_yes,activeDuty_1950_1955_yes,activeDuty_1955_1964_yes,activeDuty_1964_1975_yes,activeDuty_1975_1990_yes,activeDuty_1990_2001_yes,activeDuty_2001_later_yes,activeDuty_anything_yes,anythingDamaged_yes,arrestsMade_yes,attacked_attemptRape_yes,attacked_grabHeldTripped_yes,attacked_hitSlap_yes,attemptedTheft_anything_yes,attemptedTheft_bicycle_yes,attemptedTheft_car_yes,attemptedTheft_cash_yes,attemptedTheft_creditCard_yes,attemptedTheft_gasoline_yes,attemptedTheft_handgun_yes,attemptedTheft_householdItems_yes,attemptedTheft_motorVehiclePart_yes,attemptedTheft_otherGun_yes,attemptedTheft_otherMotorVehicle_yes,attemptedTheft_personalEffects_yes,attemptedTheft_purse_yes,attemptedTheft_silver_yes,attemptedTheft_tv_yes,attemptedTheft_unknown_yes,attemptedTheft_wallet_yes,attemptedTheft_yes,attendingCollege_college,attendingCollege_regular,attendingCollege_trade,attendingCollege_vocational,brokenInOrAttempted_yes,buildingRestrictedAccess_yes,businessIncorporated_yes,businessType_manufacturing,businessType_retail,businessType_wholesale,cashOnPerson_yes,citizenshipStatus_yes_bornAbroad,citizenshipStatus_yes_bornInTerritories,citizenshipStatus_yes_bornInUS,citizenshipStatus_yes_naturalization,complaintSigned_yes,currentJob_yes,difficulties_concentrating_yes,difficulties_dressing_yes,difficulties_goOutside_yes,difficulties_hearing_yes,difficulties_seeing_yes,difficulties_stairs_yes,directOutsideAccess_yes,employedAtTimeOfIncident_yes,evidenceForcibleEntry_yes,evidenceHC_abusiveLanguage_yes,evidenceHC_believeHCbutNotEvidence_yes,evidenceHC_hateSymbols_yes,evidenceHC_nearHolidayLocation_yes,evidenceHC_offenderTargetedYou_yes,evidenceHC_otherHCinNeighborhood_yes,evidenceHC_previousCrimes_yes,firstPhysicalForce_offender,firstPhysicalForce_respondent,gatedCommunity_yes,happened_attemptedPropDam_yes,happened_attemptedTheft_yes,happened_forcibleCarEntry_yes,happened_forcibleHouseEntry_yes,happened_harassedLanguage_yes,happened_propertyDamage_yes,happened_sexualContactForce_yes,happened_sexualContactNoForce_yes,happened_somethingTaken_yes,hateCrime_disability_yes,hateCrime_ethnicity_yes,hateCrime_gender_yes,hateCrime_race_yes,hateCrime_religion_yes,hateCrime_sexuality_yes,hateCrime_yes,howDidOffenderGetIn_letIn,howDidOffenderGetIn_locked,howDidOffenderGetIn_unlocked,incidentAtWork_yes,income_high,income_low,income_middle,injuries_anything_yes,injuries_attemptRape_yes,injuries_brokenBones_yes,injuries_bruises_yes,injuries_internalInjury_yes,injuries_medicalCare_yes,injuries_notGunOrKnife_yes,injuries_rape_yes,injuries_sexualAssault_yes,injuries_shot_yes,injuries_stabbed_yes,injuries_unconscious_yes,itemTaken_animals_yes,itemTaken_bicycle_yes,itemTaken_car_yes,itemTaken_carpart_yes,itemTaken_cash_yes,itemTaken_clothing_yes,itemTaken_creditCard_yes,itemTaken_electronics_yes,itemTaken_farm_yes,itemTaken_food_yes,itemTaken_gas_yes,itemTaken_handgun_yes,itemTaken_jewelry_yes,itemTaken_otherFirearm_yes,itemTaken_otherHH_yes,itemTaken_otherPersonal_yes,itemTaken_otherVehicle_yes,itemTaken_purse_yes,itemTaken_silver_yes,itemTaken_stamps_yes,itemTaken_tools_yes,itemTaken_toys_yes,itemTaken_tv_yes,itemTaken_unattachedVehicle_yes,itemTaken_wallet_yes,job_last2Weeks_yes,job_past6Months_yes,job_pastWeek_yes,jobTypeOfIndustry_federal,jobTypeOfIndustry_nonProfit,jobTypeOfIndustry_private,jobTypeOfIndustry_selfEmployed,jobTypeOfIndustry_state,knowAboutOffender_yes,livedAtAddress_10to15years,livedAtAddress_15years_more,livedAtAddress_5to10years,livedAtAddress_5years_less,liveOnReservation_yes,livingQuarters_dormitory,livingQuarters_house,livingQuarters_nonpermanenthotel,livingQuarters_permanentHotel,livingQuarters_permanentMobileHome,loseWorkTimeInjuries_yes,medCare_clinic_yes,medCare_ER_yes,medCare_firstAid_yes,medCare_home_yes,medCare_hospital_yes,medCare_insuranceCovered_yes,medCare_overnight_yes,medCare_scene_yes,motorVehicleTheft_yes,num_attack_threat_multiple,num_attack_threat_one,numHHMembersHarmed_multiple,numHHMembersHarmed_one,numHHMembersHarmed_zero,numMotorVehiclesOwned_multiple,numMotorVehiclesOwned_one,numOthersHarmed_multiple,numOthersHarmed_one,numOthersHarmed_zero,numTimesBrokenInOrAttempted_multiple,numTimesBrokenInOrAttempted_one,numTimesMotorVehicleTheft_multiple,numTimesMotorVehicleTheft_one,numTimesMoved_multiple,numTimesMoved_one,numTimesStolen_multiple,numTimesStolen_one,occupationIndustry_agriculture,occupationIndustry_construction,occupationIndustry_entertainment,occupationIndustry_finance,occupationIndustry_government,occupationIndustry_manufacturing,occupationIndustry_personalServices,occupationIndustry_professionalServices,occupationIndustry_repairServices,occupationIndustry_retailTrade,occupationIndustry_transportation,occupationIndustry_wholesaleTrade,offenderRelation_boyfriend_girlfriend_yes,offenderRelation_child_yes,offenderRelation_coworker_yes,offenderRelation_customer_yes,offenderRelation_employee_yes,offenderRelation_exspouse_yes,offenderRelation_friend_yes,offenderRelation_neighbor_yes,offenderRelation_otherNonRelative_yes,offenderRelation_otherRelative_yes,offenderRelation_parent_yes,offenderRelation_patient_yes,offenderRelation_roommate_yes,offenderRelation_schoolmate_yes,offenderRelation_sibling_yes,offenderRelation_spouse_yes,offenderRelation_supervisor_yes,otherHelp_preventInjury_yes,otherHelp_protectOthers_yes,otherHelp_protectProp_yes,otherHelp_respEscape_yes,otherHelp_scareOffender_yes,otherHurt_hurtOthers_yes,otherHurt_offenderAngry_yes,otherHurt_offenderEscape_yes,otherHurt_prop_yes,otherHurt_respInjury_yes,otherHurtSituation_yes,othersHarmed_yes,othersPresent_yes,pregnant_yes,profHelp_counseling_yes,profHelp_doctor_yes,profHelp_ER_yes,profHelp_medication_yes,profMed_counseling_yes,profMed_doctor_yes,profMed_ER_yes,profMed_medication_yes,recovered_cash_yes,recovered_creditCards_yes,recovered_motorVehicle_yes,recovered_purse_yes,recovered_wallet_yes,reference_age_10s,reference_age_20s,reference_age_30s,reference_age_40s,reference_age_50s,reference_age_60s,reference_age_70sOlder,reference_ArmedForcesNow_yes,reference_hispanic_yes,reference_raceAAPI,reference_raceAmericanIndian,reference_raceAsian,reference_raceBlack,reference_raceMultiple,reference_raceWhite,referenceEducation_associate,referenceEducation_bachelors,referenceEducation_hsGrad,referenceEducation_lessThanHS,referenceEducation_masters,referenceEducation_phd,referenceEducation_profDegree,referenceMaritalCurr_divorced,referenceMaritalCurr_married,referenceMaritalCurr_neverMarried,referenceMaritalCurr_separated,referenceMaritalCurr_widowed,referencePersonAttendingSchool_college,referencePersonAttendingSchool_none,referencePersonAttendingSchool_regular,referencePersonAttendingSchool_trade,referencePersonAttendingSchool_vocational,referenceSex_female,referenceSex_male,reservationLandIncidentOccurred_yes,respUsePhysicalForce_yes,selfProtect_argued_yes,selfProtect_callPolice_yes,selfProtect_chasedOffender_yes,selfProtect_cooperated_yes,selfProtect_getAttention_yes,selfProtect_gun_yes,selfProtect_gunThreaten_yes,selfProtect_helpAvoidInjury_yes,selfProtect_helpedSituation_yes,selfProtect_helpProtectOthers_yes,selfProtect_helpProtectProp_yes,selfProtect_helpRespEscape_yes,selfProtect_helpScareOffender_yes,selfProtect_hurtInjury_yes,selfProtect_hurtOffenderAngry_yes,selfProtect_hurtOffenderEscape_yes,selfProtect_hurtOthers_yes,selfProtect_hurtProp_yes,selfProtect_hurtSituation_yes,selfProtect_injuryAfter_yes,selfProtect_injuryBefore_yes,selfProtect_injuryDuring_yes,selfProtect_noWeaponThreat_yes,selfProtect_otherWeapon_yes,selfProtect_otherWeaponThreat_yes,selfProtect_property_yes,selfProtect_ranAway_yes,selfProtect_screamFear_yes,selfProtect_yelled_yes,sexualOrientation_notStraight,sexualOrientation_straight,signOnPremisesForBusiness_yes,somethingStolenOrAttempted_yes,somethingTakeninHH_yes,stolenItemsInCar_yes,took_selfProtection_yes,victim_problemsFamily_yes,victim_problemsWork_yes,weapon_blunt_yes,weapon_handgun_yes,weapon_knife_yes,weapon_sharp_yes,work_employedCollege_yes,work_employmentType_federal,work_employmentType_private,work_employmentType_self,work_employmentType_state,work_location_city,work_location_rural,work_location_suburb,attacked_overall_yes,attacked_rape_yes,attacked_sexualAssault_yes,attacked_shot_yes,attacked_shotMissed_yes,attacked_hitWithGun_yes,attacked_stabbed_yes,attacked_knifeAttack_yes,attacked_object_yes,attacked_thrown_yes,attacked_otherWeapon_yes,reference_ArmedForcesNow_no,occupationIndustry_armedForces,policeCome_yes,meansTransportation_bike,meansTransportation_public_transport,meansTransportation_on_foot,crimes_in_night,crimes_in_day,crime_at_own_property_yes,crime_at_hotel_motel,crime_near_own_property,crime_at_resturant_bar_nightclub,crime_at_commerical_business,crime_at_office,crime_at_school,crime_at_parking_lot,crime_on_street,crime_on_public_transport,attendingCollege_no,murderData_referenceSex_male,murderData_referenceSex_female,murderData_referenceSex_unknown,murderData_reference_age_10s,murderData_reference_age_20s,murderData_reference_age_30s,murderData_reference_age_40s,murderData_reference_age_50s,murderData_reference_age_60s,murderData_reference_age_70sOlder,murderData_reference_age_Unknown,murderData_reference_raceAAPI,murderData_reference_raceAmericanIndian,murderData_reference_raceAsian,murderData_reference_raceBlack,murderData_reference_raceWhite,murderData_reference_raceUnknown,murderData_reference_hispanic_yes,murderData_reference_hispanic_unknown,murderData_offernderRelation_boyfriend_girlfriend_yes,murderData_offernderRelation_child_yes,murderData_offernderRelation_employee_yes,murderData_offernderRelation_exspouse_yes,murderData_offernderRelation_friend_yes,murderData_offernderRelation_otherRelative_yes,murderData_offernderRelation_parent_yes,murderData_offernderRelation_sibling_yes,murderData_offernderRelation_spouse_yes,murderData_offernderRelation_suporvisor_yes
1996,1,Midwest,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,12,0,16,21,9,0,3,1,0,0,1,0,1,0,0,2,0,0,1,1,0,9,21,0,0,0,33,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,41,171,21,NA,NA,NA,NA,NA,NA,NA,11,1,NA,0,0,0,3,0,0,0,0,24,NA,NA,NA,NA,NA,NA,NA,2,4,17,38,0,179,56,33,0,1,15,1,8,3,0,1,0,0,1,0,5,0,23,11,25,12,31,1,11,4,1,19,0,3,21,2,5,1,0,17,9,8,6,14,19,23,165,NA,NA,NA,NA,NA,30,25,41,39,99,NA,1,272,0,0,8,4,1,4,0,3,1,6,1,0,29,1,4,0,0,6,204,59,3,4,0,204,59,4,26,109,55,164,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,0,NA,0,1,NA,0,NA,12,2,1,4,7,0,5,1,0,0,7,6,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,4,9,62,70,83,30,20,8,2,5,NA,NA,NA,NA,NA,NA,0,0,0,147,0,0,0,62,142,58,10,10,21,260,0,0,0,117,165,NA,12,10,9,0,1,1,0,2,31,52,2,4,9,14,0,10,0,1,0,12,3,1,8,4,0,0,17,12,1,10,NA,NA,1,152,180,44,12,NA,NA,5,3,4,1,6,6,140,16,22,101,19,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2489,751,4,556,1055,699,380,163,89,117,24,0,20,24,2089,1090,21,15,3090,103,86,3,9,68,43,35,28,129,4
1996,1,Northeast,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,9,0,11,23,16,0,3,2,0,0,0,1,2,0,1,1,1,0,0,4,1,16,29,0,0,4,11,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,49,152,15,NA,NA,NA,NA,NA,NA,NA,8,1,NA,0,0,0,3,1,1,0,0,29,NA,NA,NA,NA,NA,NA,NA,3,0,14,26,0,149,74,34,0,0,15,0,8,1,0,0,0,0,2,1,4,8,28,10,23,4,21,1,4,0,0,11,1,1,20,1,4,1,0,18,5,4,8,4,17,21,141,NA,NA,NA,NA,NA,27,34,43,37,93,NA,3,240,0,0,6,0,0,4,0,3,0,5,0,1,33,2,1,0,1,9,151,67,5,1,0,151,67,7,26,71,45,144,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,NA,10,2,0,6,2,0,7,0,0,1,9,10,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,5,1,0,5,34,63,87,36,15,9,1,12,NA,NA,NA,NA,NA,NA,0,0,0,111,0,0,0,34,135,59,6,15,19,227,0,0,1,108,141,NA,9,1,7,3,1,0,0,1,19,40,2,5,10,7,1,5,0,0,0,7,4,2,8,1,0,0,11,8,2,8,NA,NA,0,139,169,44,4,NA,NA,0,1,4,1,4,5,116,20,20,75,16,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,1,South,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,18,1,23,29,20,0,6,4,0,0,0,0,2,0,0,1,1,0,1,4,2,20,35,0,0,4,38,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,102,287,59,NA,NA,NA,NA,NA,NA,NA,18,0,NA,0,0,0,4,2,1,0,0,44,NA,NA,NA,NA,NA,NA,NA,4,6,12,34,0,320,109,50,0,1,21,0,10,5,0,0,0,1,0,2,12,11,47,25,43,17,54,1,7,6,4,29,3,11,41,1,16,4,4,35,11,17,14,27,22,33,280,NA,NA,NA,NA,NA,55,44,54,87,159,NA,2,416,0,0,56,6,1,4,0,2,3,6,0,3,70,1,3,0,2,17,340,96,11,3,0,340,96,10,59,180,94,257,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,0,0,NA,0,0,NA,1,NA,15,2,0,7,5,0,4,0,0,0,11,19,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,12,6,11,12,92,125,130,57,25,34,11,30,NA,NA,NA,NA,NA,NA,0,0,0,249,0,0,0,70,266,83,24,30,27,441,0,0,3,187,288,NA,20,5,6,0,2,1,0,0,29,58,4,2,9,17,2,17,0,0,0,18,7,0,16,1,1,2,26,11,2,17,NA,NA,2,270,340,110,11,NA,NA,5,14,4,0,5,16,226,33,35,191,22,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6300,1952,17,1107,2470,1925,1211,495,297,431,151,0,30,89,4422,3690,38,590,6213,320,218,5,32,182,121,136,82,510,2
1996,1,West,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,18,0,23,26,20,0,6,3,0,0,0,0,5,0,0,2,1,0,2,2,0,20,39,0,4,3,32,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,141,251,21,NA,NA,NA,NA,NA,NA,NA,12,2,NA,0,0,1,5,0,1,1,0,32,NA,NA,NA,NA,NA,NA,NA,1,1,16,53,0,270,91,42,1,1,21,0,15,1,2,0,1,1,1,0,21,8,39,18,30,11,38,3,3,4,1,13,1,3,36,0,8,1,0,23,13,6,15,12,17,25,246,NA,NA,NA,NA,NA,42,27,50,53,137,NA,0,378,0,0,11,3,0,5,0,9,2,9,0,0,53,0,3,0,5,12,274,90,6,3,0,274,90,9,44,171,76,212,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,0,NA,0,3,NA,2,NA,13,0,1,6,5,0,6,1,0,0,9,16,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,2,1,9,77,111,110,46,20,19,4,70,NA,NA,NA,NA,NA,NA,0,0,0,153,0,0,0,70,197,83,19,21,33,355,0,4,0,170,222,NA,16,10,12,3,2,2,0,0,31,57,4,4,11,14,3,8,0,0,0,15,7,3,11,5,1,0,21,23,2,10,NA,NA,1,240,257,94,9,NA,NA,4,11,7,1,9,4,202,27,34,175,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3698,959,1,810,1425,1030,590,255,116,192,66,0,66,194,1050,3279,69,1500,1258,134,167,0,13,240,43,60,19,211,6
1996,2,Midwest,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,16,0,20,22,15,0,3,1,0,0,0,0,5,0,0,2,1,0,1,0,1,15,25,0,3,3,34,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,54,186,18,NA,NA,NA,NA,NA,NA,NA,12,1,NA,1,0,0,3,0,2,0,0,24,NA,NA,NA,NA,NA,NA,NA,2,5,12,35,0,209,60,42,0,3,18,1,9,3,0,0,0,2,1,0,8,7,26,19,32,8,30,0,3,4,0,16,1,8,24,0,6,3,3,19,8,11,8,9,15,18,183,NA,NA,NA,NA,NA,35,36,40,40,107,NA,2,293,0,0,8,6,1,5,1,2,2,8,1,2,46,3,8,1,0,12,212,65,6,8,0,212,65,9,37,119,47,173,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,NA,0,0,NA,0,0,NA,0,NA,11,2,1,1,5,1,6,0,0,2,13,13,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,4,3,14,60,82,82,33,18,15,1,3,NA,NA,NA,NA,NA,NA,0,0,0,169,0,0,0,47,168,69,9,11,19,278,0,2,2,128,176,NA,13,5,5,1,3,7,0,0,19,48,4,5,6,10,3,5,0,1,0,7,11,9,14,1,1,0,27,8,4,12,NA,NA,2,172,213,66,10,NA,NA,4,6,2,1,14,4,155,19,17,101,27,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2489,751,4,556,1055,699,380,163,89,117,24,0,20,24,2089,1090,21,15,3090,103,86,3,9,68,43,35,28,129,4
1996,2,Northeast,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,6,0,9,17,10,0,5,2,0,0,0,0,2,0,0,1,0,0,0,0,0,10,26,0,1,0,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,55,137,14,NA,NA,NA,NA,NA,NA,NA,4,0,NA,0,0,0,1,0,0,0,0,21,NA,NA,NA,NA,NA,NA,NA,1,1,12,23,0,137,52,29,0,0,12,0,7,1,0,1,0,0,0,1,6,10,29,10,16,11,29,1,2,1,0,11,1,1,17,2,7,0,0,8,8,4,8,5,11,11,134,NA,NA,NA,NA,NA,22,31,37,35,75,NA,4,204,1,0,5,1,1,0,1,4,0,7,0,1,41,0,2,0,1,9,121,59,6,2,0,121,59,1,40,71,29,114,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,1,NA,0,NA,8,1,1,4,1,0,1,0,0,0,2,11,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,0,0,5,38,57,54,33,18,9,1,15,NA,NA,NA,NA,NA,NA,0,0,0,89,0,0,0,36,105,50,13,10,22,189,0,2,0,90,124,NA,5,5,5,1,2,1,0,1,18,30,1,3,4,6,0,4,0,0,0,4,1,1,8,2,0,0,11,8,1,4,NA,NA,4,122,151,59,7,NA,NA,3,4,3,0,12,6,95,14,27,69,10,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,2,South,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,22,0,23,32,16,0,4,1,0,0,0,0,2,0,0,2,1,0,0,3,0,16,31,0,1,4,28,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,105,269,33,NA,NA,NA,NA,NA,NA,NA,6,0,NA,0,0,0,6,0,1,0,0,44,NA,NA,NA,NA,NA,NA,NA,3,2,22,38,0,285,111,50,0,2,25,0,10,4,2,0,0,1,1,2,21,16,36,17,40,16,38,2,5,9,2,42,1,2,41,2,16,2,2,30,12,15,13,26,13,21,262,NA,NA,NA,NA,NA,70,33,61,63,167,NA,2,388,0,0,46,3,1,3,1,2,3,5,0,1,53,1,5,0,0,12,303,109,8,5,0,303,109,9,44,167,82,212,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,0,0,NA,0,3,NA,1,NA,10,4,0,3,8,1,2,0,0,1,5,12,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,11,4,4,8,66,115,124,75,31,19,6,44,NA,NA,NA,NA,NA,NA,0,0,0,207,0,0,0,71,237,71,36,21,21,408,0,0,6,177,261,NA,9,11,8,1,4,7,0,1,30,48,8,6,9,12,0,7,0,0,1,11,4,2,14,0,1,1,20,11,1,8,NA,NA,3,293,330,82,16,NA,NA,4,5,4,1,6,8,211,27,35,171,18,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6300,1952,17,1107,2470,1925,1211,495,297,431,151,0,30,89,4422,3690,38,590,6213,320,218,5,32,182,121,136,82,510,2
1996,2,West,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,17,0,10,21,21,0,1,2,1,1,0,0,8,0,0,3,0,0,0,2,2,21,37,0,2,2,27,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,114,231,15,NA,NA,NA,NA,NA,NA,NA,8,2,NA,0,0,1,8,0,2,0,0,33,NA,NA,NA,NA,NA,NA,NA,0,9,12,49,0,252,82,34,0,2,14,2,11,5,1,0,0,2,1,0,13,12,42,17,32,20,50,2,2,10,2,14,0,4,35,2,6,0,2,26,9,6,8,17,18,34,211,NA,NA,NA,NA,NA,60,29,37,57,114,NA,0,338,0,0,21,1,1,4,0,5,2,7,0,1,79,0,3,0,2,14,259,85,8,3,0,259,85,17,62,162,61,178,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,1,0,NA,0,2,NA,0,NA,14,3,5,5,8,1,8,1,0,1,12,16,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,8,1,2,7,67,95,113,48,19,11,4,56,NA,NA,NA,NA,NA,NA,0,0,0,141,0,0,0,66,181,78,17,18,38,317,0,1,3,146,214,NA,11,7,6,4,1,1,0,0,25,47,3,9,11,9,2,3,0,1,0,9,10,1,10,3,0,0,16,12,1,8,NA,NA,1,227,257,96,6,NA,NA,5,1,6,4,5,8,169,33,33,134,19,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3698,959,1,810,1425,1030,590,255,116,192,66,0,66,194,1050,3279,69,1500,1258,134,167,0,13,240,43,60,19,211,6
1996,3,Midwest,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,11,0,14,22,16,2,2,1,0,0,0,0,5,0,0,1,0,0,0,2,0,16,20,0,0,2,30,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,56,177,17,NA,NA,NA,NA,NA,NA,NA,13,2,NA,0,0,0,2,0,0,0,0,17,NA,NA,NA,NA,NA,NA,NA,0,6,8,36,0,183,62,30,0,1,18,0,10,1,1,0,0,0,0,1,7,11,34,10,20,5,29,0,1,11,1,19,3,2,29,0,4,0,1,18,8,5,9,10,13,22,174,NA,NA,NA,NA,NA,40,29,46,40,97,NA,4,273,0,0,7,3,1,2,0,6,1,6,0,3,44,1,1,0,1,7,199,68,1,1,0,199,68,6,38,107,50,140,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,0,0,NA,0,1,NA,1,NA,5,0,3,4,5,0,7,0,0,0,8,9,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,9,0,5,6,52,75,78,42,15,16,1,9,NA,NA,NA,NA,NA,NA,0,0,0,146,0,0,0,64,143,58,10,9,17,263,0,1,2,113,171,NA,15,10,1,1,0,3,0,1,25,42,2,6,8,10,1,5,0,0,2,7,2,2,14,3,1,1,16,13,4,9,NA,NA,0,173,203,74,8,NA,NA,1,6,1,3,5,4,143,23,19,98,22,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2489,751,4,556,1055,699,380,163,89,117,24,0,20,24,2089,1090,21,15,3090,103,86,3,9,68,43,35,28,129,4
1996,3,Northeast,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,0,11,16,13,0,2,1,0,0,0,0,3,0,2,0,1,0,0,1,2,13,14,0,0,2,11,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,42,110,10,NA,NA,NA,NA,NA,NA,NA,9,0,NA,0,0,0,2,0,0,0,0,18,NA,NA,NA,NA,NA,NA,NA,2,0,6,30,0,108,49,25,0,0,12,0,8,2,1,0,0,0,0,1,6,6,20,11,14,5,19,0,3,1,0,13,0,2,18,0,4,1,0,6,5,3,3,7,11,15,101,NA,NA,NA,NA,NA,18,22,31,22,71,NA,1,177,1,0,1,1,1,1,0,5,0,4,0,0,20,0,3,0,1,4,100,47,1,3,0,100,47,5,15,59,35,87,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,1,0,NA,0,0,NA,0,NA,4,1,2,1,0,0,0,0,0,0,0,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,1,1,1,21,54,59,25,12,8,1,7,NA,NA,NA,NA,NA,NA,0,0,0,79,0,0,0,18,102,49,5,6,15,158,0,0,4,71,109,NA,10,3,4,1,0,0,0,0,13,30,3,5,6,7,1,1,0,0,0,4,3,0,7,0,2,0,11,7,2,4,NA,NA,4,112,125,33,5,NA,NA,3,3,2,1,4,4,77,13,22,57,9,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
