"","Region","Year","Month","referenceSex_male","referenceSex_female","referenceSex_unknown","reference_age_10s","reference_age_20s","reference_age_30s","reference_age_40s","reference_age_50s","reference_age_60s","reference_age_70sOlder","reference_age_Unknown","reference_raceAAPI","reference_raceAmericanIndian","reference_raceAsian","reference_raceBlack","reference_raceWhite","reference_raceUnknown","reference_hispanic_yes","reference_hispanic_unknown","offernderRelation_boyfriend_girlfriend_yes","offernderRelation_child_yes","offernderRelation_employee_yes","offernderRelation_exspouse_yes","offernderRelation_friend_yes","offernderRelation_otherRelative_yes","offernderRelation_parent_yes","offernderRelation_sibling_yes","offernderRelation_spouse_yes","offernderRelation_suporvisor_yes","Total"
"11","Midwest",1976,"October",4.38892940239673e-06,1.3424980974845e-06,0,7.5730684069558e-07,1.70393958500668e-06,1.10153703307725e-06,8.94998931911988e-07,4.64711083771743e-07,4.30288047877736e-07,1.89326763885295e-07,3.44230507058314e-08,0,6.88461002267164e-08,0,3.20133864156733e-06,2.4612451350767e-06,0,0,5.73142160754671e-06,1.0326914834061e-07,1.0326914834061e-07,0,3.44230507058314e-08,4.99134118480806e-07,1.72115253900117e-08,1.0326914834061e-07,3.44230507058314e-08,5.67980184344094e-07,0,5.73142160754671e-06
"12","Midwest",1976,"September",4.69873545592739e-06,1.30807509180658e-06,0,6.71249274029894e-07,2.28913028761278e-06,1.04990251178512e-06,6.54037759674822e-07,5.85191699958303e-07,1.20480672175247e-07,2.92595892674295e-07,6.88461002267164e-08,0,5.16345755033699e-08,0,3.28739599027792e-06,2.66778291297478e-06,0,0,6.00680440123157e-06,1.0326914834061e-07,3.0980741325033e-07,0,5.16345755033699e-08,5.85191699958303e-07,5.16345755033699e-08,6.88461002267164e-08,1.0326914834061e-07,4.4749956608388e-07,0,6.00680440123157e-06
"13","Midwest",1977,"April",4.18073509739406e-06,1.31933222556469e-06,0,6.16830867546783e-07,1.97043060471715e-06,9.93782877126002e-07,7.53904342096825e-07,5.8256249597347e-07,1.7134194594071e-07,2.0561033138384e-07,5.14025868648096e-08,0,8.56709766401127e-08,3.42683915367871e-08,3.01561395816276e-06,2.33024794806636e-06,3.42683915367871e-08,0,5.50006180719538e-06,1.37073559101213e-07,1.37073559101213e-07,1.71341959151839e-08,3.42683915367871e-08,2.22744523776057e-07,6.85367818992515e-08,1.19939365241093e-07,5.14025868648096e-08,5.8256249597347e-07,0,5.50006180719538e-06
"14","Midwest",1977,"August",4.79756338614057e-06,1.52494228590245e-06,0,8.90977797857733e-07,2.31311379178448e-06,1.09658794604743e-06,6.16830867546783e-07,7.36770158805601e-07,3.08415481333431e-07,2.22744523776057e-07,1.71341959151839e-08,0,5.14025868648096e-08,1.71341959151839e-08,3.39256506351713e-06,2.86140664674543e-06,0,0,6.32249835605887e-06,1.54207752667752e-07,6.85367818992515e-08,0,6.85367818992515e-08,4.28354809583376e-07,8.56709766401127e-08,1.02805171087393e-07,8.56709766401127e-08,4.62623186441136e-07,1.71341959151839e-08,6.32249835605887e-06
"15","Midwest",1977,"December",4.38634456917745e-06,1.4050030891764e-06,0,6.68233422704901e-07,1.79908896703554e-06,1.07945376862781e-06,6.16830867546783e-07,5.8256249597347e-07,3.94086431551294e-07,3.5981805234489e-07,3.42683915367871e-08,0,1.71341959151839e-08,1.71341959151839e-08,3.23835781022841e-06,2.51872364756882e-06,0,0,5.79134149554403e-06,1.7134194594071e-07,2.39878715874693e-07,0,5.14025868648096e-08,4.28354809583376e-07,8.56709766401127e-08,1.02805171087393e-07,1.02805171087393e-07,4.79757374429645e-07,0,5.79134149554403e-06
"16","Midwest",1977,"February",4.14646684794972e-06,1.55921062518195e-06,0,6.51099237945775e-07,1.76482063597626e-06,1.19939300439998e-06,6.85367607170446e-07,5.14025749525923e-07,3.08415481333431e-07,2.74147099191223e-07,3.42683915367871e-08,0,1.71341959151839e-08,0,3.13555296149155e-06,2.46732118753055e-06,8.56709766401127e-08,0,5.70567100771291e-06,2.22744523776057e-07,1.54207752667752e-07,0,1.71341959151839e-08,3.76952242094882e-07,5.14025868648096e-08,1.7134194594071e-07,8.56709766401127e-08,7.02501791342412e-07,0,5.70567100771291e-06
"17","Midwest",1977,"January",4.23213746913668e-06,1.57634479438134e-06,0,6.33965052893069e-07,2.14177221281876e-06,7.36770158805601e-07,6.33965052893069e-07,5.48294123225835e-07,3.42683862301318e-07,4.28354809583376e-07,8.56709766401127e-08,0,1.71341959151839e-08,0,3.23835781022841e-06,2.51872364756882e-06,3.42683915367871e-08,0,5.80847559222952e-06,1.7134194594071e-07,3.76952242094882e-07,0,0,3.5981805234489e-07,1.02805171087393e-07,1.37073559101213e-07,1.19939365241093e-07,4.62623186441136e-07,0,5.80847559222952e-06
"18","Midwest",1977,"July",4.55768576333302e-06,1.25079552961293e-06,0,8.39575254149244e-07,2.14177221281876e-06,1.02805123460747e-06,6.85367607170446e-07,4.45488998159046e-07,2.22744523776057e-07,2.22744523776057e-07,1.71341959151839e-08,0,8.56709766401127e-08,0,2.99847981362404e-06,2.72433346129981e-06,0,0,5.80847559222952e-06,1.19939365241093e-07,1.88476138698043e-07,0,1.71341959151839e-08,5.14025749525923e-07,8.56709766401127e-08,8.56709766401127e-08,6.85367818992515e-08,4.96891562124574e-07,0,5.80847559222952e-06
"19","Midwest",1977,"June",3.61530883161926e-06,1.11372212317347e-06,1.71341959151839e-08,7.53904342096825e-07,1.42213726101801e-06,8.22441072325921e-07,6.51099237945775e-07,4.28354809583376e-07,1.37073559101213e-07,2.74147099191223e-07,3.42683915367871e-08,0,6.85367818992515e-08,6.85367818992515e-08,2.58726025684309e-06,2.00469892850847e-06,1.71341959151839e-08,0,4.74616104324013e-06,1.54207752667752e-07,8.56709766401127e-08,0,6.85367818992515e-08,3.42683862301318e-07,8.56709766401127e-08,1.19939365241093e-07,6.85367818992515e-08,3.94086431551294e-07,0,4.74616104324013e-06
"20","Midwest",1977,"March",4.67762458192945e-06,1.59347896328714e-06,0,6.33965052893069e-07,2.00469892850847e-06,1.50780811582232e-06,6.16830867546783e-07,5.48294123225835e-07,4.28354809583376e-07,1.88476138698043e-07,1.71341959151839e-08,0,1.71341959151839e-08,1.71341959151839e-08,3.51250402163479e-06,2.70719931177025e-06,1.71341959151839e-08,0,6.2710960915436e-06,2.0561033138384e-07,2.22744523776057e-07,0,3.42683915367871e-08,4.96891562124574e-07,3.42683915367871e-08,1.54207752667752e-07,6.85367818992515e-08,7.53904342096825e-07,0,6.2710960915436e-06
"21","Midwest",1977,"May",4.50628340832435e-06,1.43927143256603e-06,0,8.05306890209017e-07,1.85049146142261e-06,1.19939300439998e-06,7.36770158805601e-07,6.16830867546783e-07,3.76952242094882e-07,1.7134194594071e-07,0,0,5.14025868648096e-08,1.71341959151839e-08,3.16982124557815e-06,2.67293101183038e-06,3.42683915367871e-08,0,5.94554835514468e-06,2.22744523776057e-07,2.22744523776057e-07,0,5.14025868648096e-08,5.14025749525923e-07,1.19939365241093e-07,1.02805171087393e-07,1.19939365241093e-07,6.33965052893069e-07,0,5.94554835514468e-06
