Region,Year,Month,Male,Female,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70+,AAPI,Native,Asian,Black,White,Hispanic
Midwest,1978,June,3.98E-06,1.18E-06,6.48E-07,1.86E-06,9.04E-07,5.63E-07,5.63E-07,1.88E-07,2.73E-07,0,1.71E-08,0,3.00E-06,2.05E-06,0
Midwest,1978,March,4.27E-06,1.57E-06,5.63E-07,1.74E-06,1.23E-06,8.19E-07,5.97E-07,3.24E-07,2.90E-07,0,1.71E-08,1.71E-08,3.17E-06,2.63E-06,0
Midwest,1978,May,3.94E-06,1.42E-06,5.63E-07,2.05E-06,1.04E-06,5.46E-07,4.10E-07,2.90E-07,2.73E-07,0,1.71E-08,0,2.80E-06,2.51E-06,0
Midwest,1978,November,4.20E-06,1.30E-06,6.83E-07,1.91E-06,1.08E-06,5.97E-07,4.78E-07,2.56E-07,2.90E-07,0,5.12E-08,5.12E-08,3.21E-06,2.08E-06,0
Midwest,1978,October,4.21E-06,1.19E-06,5.12E-07,1.96E-06,8.87E-07,8.02E-07,4.95E-07,3.07E-07,2.05E-07,0,1.71E-08,0,2.95E-06,2.39E-06,0
Midwest,1978,September,5.02E-06,1.42E-06,8.36E-07,2.24E-06,1.06E-06,9.21E-07,5.63E-07,2.90E-07,3.75E-07,0,1.71E-08,1.71E-08,3.62E-06,2.78E-06,0
Midwest,1979,April,4.24E-06,1.45E-06,6.80E-07,1.65E-06,9.36E-07,7.83E-07,5.10E-07,3.23E-07,3.57E-07,0,5.10E-08,1.70E-08,3.10E-06,2.50E-06,0
Midwest,1979,August,4.95E-06,1.72E-06,7.14E-07,2.48E-06,1.19E-06,1.04E-06,3.91E-07,2.55E-07,3.57E-07,0,3.40E-08,1.70E-08,3.05E-06,3.47E-06,0
Midwest,1979,December,5.10E-06,1.51E-06,6.46E-07,2.53E-06,1.24E-06,8.34E-07,5.61E-07,3.74E-07,1.53E-07,0,3.40E-08,0,3.32E-06,3.20E-06,0
Midwest,1979,February,4.29E-06,1.62E-06,5.61E-07,2.40E-06,1.05E-06,4.76E-07,5.44E-07,3.23E-07,2.72E-07,0,3.40E-08,1.70E-08,3.35E-06,2.48E-06,0
