"","Region","Year","Month","referenceSex_male","referenceSex_female","referenceSex_unknown","reference_age_10s","reference_age_20s","reference_age_30s","reference_age_40s","reference_age_50s","reference_age_60s","reference_age_70sOlder","reference_age_Unknown","reference_raceAAPI","reference_raceAmericanIndian","reference_raceAsian","reference_raceBlack","reference_raceWhite","reference_raceUnknown","reference_hispanic_yes","reference_hispanic_unknown","offernderRelation_boyfriend_girlfriend_yes","offernderRelation_child_yes","offernderRelation_employee_yes","offernderRelation_exspouse_yes","offernderRelation_friend_yes","offernderRelation_otherRelative_yes","offernderRelation_parent_yes","offernderRelation_sibling_yes","offernderRelation_spouse_yes","offernderRelation_suporvisor_yes"
"1","Midwest",1976,"April",0.382095868817332,0.123922984481297,0,0.0636826448028886,0.178999866472984,0.0826153229875312,0.0705672550518495,0.0464711191804863,0.0206538307468828,0.0206538307468828,0,0,0.00344230512448047,0,0.290874783018599,0.209980612593308,0.00172115256224023,0,0.506018853298629,0.0172115256224023,0.0137692204979219,0.00172115256224023,0.00688461024896093,0.0361442038070449,0.0051634576867207,0.0120480679356816,0.00172115256224023,0.0619614922406484,0
"2","Midwest",1976,"August",0.506018853298629,0.154903730601621,0,0.0860576281120116,0.232355595902431,0.125644137043537,0.0688461024896093,0.0585191871161679,0.0378653563692851,0.0240961358713633,0.0051634576867207,0,0.0103269153734414,0,0.357999732945968,0.285711325331879,0.00688461024896093,0,0.660922583900249,0.0137692204979219,0.0206538307468828,0,0,0.051634576867207,0.0051634576867207,0.0103269153734414,0.00688461024896093,0.0567980345539277,0
"3","Midwest",1976,"December",0.454384276431421,0.135971052416978,0,0.07400956017633,0.189326781846426,0.0946633909232128,0.0757307127385702,0.0636826448028886,0.0413076614937656,0.029259593558084,0.00172115256224023,0,0.00344230512448047,0,0.306365156078761,0.275384409958437,0.0051634576867207,0,0.5903553288484,0.00860576281120116,0.0154903730601621,0,0.00688461024896093,0.0585191871161679,0.0137692204979219,0.0103269153734414,0.00688461024896093,0.0688461024896093,0
"4","Midwest",1976,"February",0.407913157250935,0.191047934408666,0,0.0533557294294472,0.189326781846426,0.103269153734414,0.0722884076140898,0.0602403396784082,0.0309807461203242,0.0464711191804863,0.00688461024896093,0,0.00688461024896093,0,0.320134376576683,0.266778647147236,0.0051634576867207,0,0.598961091659601,0.022374983309123,0.0189326781846426,0.0172115256224023,0.00172115256224023,0.0499134243049668,0.00860576281120116,0.0137692204979219,0.0189326781846426,0.0602403396784082,0.00172115256224023
"5","Midwest",1976,"January",0.435451598246779,0.170394103661783,0.00172115256224023,0.0671249499273691,0.197932544657627,0.0963845434854531,0.0602403396784082,0.0567980345539277,0.0481922717427265,0.0619614922406484,0.00344230512448047,0,0.00860576281120116,0.00172115256224023,0.328740139387884,0.266778647147236,0.00172115256224023,0,0.607566854470802,0.0206538307468828,0.0137692204979219,0.00172115256224023,0,0.0361442038070449,0.00688461024896093,0.0154903730601621,0.0103269153734414,0.0550768819916875,0
"6","Midwest",1976,"July",0.557653430165835,0.163509493412822,0,0.0654037973651289,0.258172884336035,0.129086442168017,0.0877787806742519,0.0636826448028886,0.0533557294294472,0.0309807461203242,0.0051634576867207,0,0.00172115256224023,0,0.387259326504052,0.323576681701164,0.00860576281120116,0,0.721162923578658,0.022374983309123,0.0120480679356816,0,0.0051634576867207,0.0654037973651289,0.0154903730601621,0.00860576281120116,0.00860576281120116,0.0619614922406484,0
"7","Midwest",1976,"June",0.500855395611908,0.123922984481297,0,0.104990306296654,0.239240206151392,0.110153763983375,0.0619614922406484,0.0395865089315254,0.0172115256224023,0.0361442038070449,0.00860576281120116,0,0.00344230512448047,0,0.36832664831941,0.253009426649314,0,0,0.624778380093205,0.0189326781846426,0.00688461024896093,0,0.00860576281120116,0.0705672550518495,0.00860576281120116,0.00344230512448047,0.0137692204979219,0.051634576867207,0
"8","Midwest",1976,"March",0.475038107178304,0.14629796779042,0,0.0671249499273691,0.196211392095387,0.122201831919057,0.0860576281120116,0.0550768819916875,0.0378653563692851,0.0309807461203242,0.0051634576867207,0,0.0051634576867207,0.00344230512448047,0.378653563692851,0.230634443340191,0.00344230512448047,0,0.621336074968724,0.0172115256224023,0.0137692204979219,0,0,0.0567980345539277,0,0.00688461024896093,0.00172115256224023,0.0533557294294472,0
"9","Midwest",1976,"May",0.475038107178304,0.123922984481297,0,0.0774518653008105,0.21858637540451,0.103269153734414,0.0791730178630507,0.051634576867207,0.029259593558084,0.0240961358713633,0.00172115256224023,0,0.00172115256224023,0.00172115256224023,0.363163190632689,0.225470985653471,0.00688461024896093,0,0.598961091659601,0.0240961358713633,0.0189326781846426,0.00172115256224023,0,0.0533557294294472,0.00344230512448047,0.0103269153734414,0.0189326781846426,0.0757307127385702,0.00172115256224023
"10","Midwest",1976,"November",0.419961225186617,0.118759526794576,0.00172115256224023,0.0602403396784082,0.166951798537303,0.0929422383609726,0.0688461024896093,0.0550768819916875,0.0275384409958437,0.0361442038070449,0.00688461024896093,0,0,0.00344230512448047,0.321855529138924,0.211701765155549,0.00344230512448047,0,0.540441904543433,0.0189326781846426,0.029259593558084,0,0.00172115256224023,0.0550768819916875,0.00344230512448047,0.0051634576867207,0.00860576281120116,0.0413076614937656,0.00172115256224023
